time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,temp,humidity,pressure,altitude,fix_q,sat,lat,long,gps_alt,gps_speed,telem_signal
2338.034,-0.366,-9.898,-0.538,-0.107,0.86,-0.192,0.005,-0.003,-0.002,96.169,30.981,994.718,13.12,0.0,0.0,0.0,0.0,0.0,0.0,-46
2338.445,-0.373,-9.888,-0.52,-0.098,0.856,-0.195,0.003,-0.001,-0.001,96.151,31.331,994.747,12.919,0.0,0.0,0.0,0.0,0.0,0.0,-46
2338.853,-0.373,-9.897,-0.559,-0.078,0.862,-0.194,0.006,0.003,-0.0,96.151,31.331,994.746,12.68,0.0,0.0,0.0,0.0,0.0,0.0,-49
2339.261,-0.379,-9.893,-0.558,-0.112,0.857,-0.195,0.004,-0.004,-0.002,96.132,31.31,994.723,12.871,0.0,0.0,0.0,0.0,0.0,0.0,-57
2339.671,-0.776,-9.49,-0.345,-0.116,0.864,-0.183,0.002,0.01,-0.003,96.123,31.332,994.715,12.728,0.0,0.0,0.0,0.0,0.0,0.0,-56
2340.077,-0.38,-9.897,-0.48,-0.109,0.875,-0.19,0.005,-0.001,-0.001,96.132,31.468,994.729,12.69,0.0,0.0,0.0,0.0,0.0,0.0,-54
2340.486,-0.363,-9.894,-0.505,-0.1,0.861,-0.186,0.003,-0.003,-0.001,96.142,31.299,994.727,13.35,0.0,0.0,0.0,0.0,0.0,0.0,-54
2340.892,-0.367,-9.885,-0.499,-0.107,0.865,-0.185,0.003,-0.004,-0.001,96.151,31.468,994.708,13.273,0.0,0.0,0.0,0.0,0.0,0.0,-54
2341.301,-0.409,-9.885,-0.491,-0.113,0.863,-0.179,-0.001,-0.003,-0.002,96.142,31.255,994.737,13.312,0.0,0.0,0.0,0.0,0.0,0.0,-55
2341.711,-0.392,-9.893,-0.539,-0.11,0.856,-0.185,0.003,0.004,-0.002,96.16,31.282,994.721,13.216,0.0,0.0,0.0,0.0,0.0,0.0,-54
2342.116,-0.376,-9.917,-0.547,-0.111,0.858,-0.177,0.006,-0.007,0.001,96.142,31.435,994.753,13.838,0.0,0.0,0.0,0.0,0.0,0.0,-55
2342.527,-0.384,-9.885,-0.492,-0.116,0.866,-0.169,0.004,-0.003,-0.001,96.132,31.397,994.733,12.212,0.0,0.0,0.0,0.0,0.0,0.0,-55
2342.933,-0.391,-9.911,-0.526,-0.107,0.873,-0.181,0.001,-0.002,0.0,96.142,31.068,994.7,12.747,0.0,0.0,0.0,0.0,0.0,0.0,-55
2343.343,-0.317,-9.834,-0.512,-0.111,0.854,-0.185,0.005,-0.006,0.001,96.16,31.233,994.735,12.977,0.0,0.0,0.0,0.0,0.0,0.0,-55
